# N(H) (cm^-2)	Tdust[K]	PEheating	H2 vib deexc.	H2 form	dust-gas coll.	OI cooling	CII  cooling	CO  cooling	CI  cooling
2.4725993714201345e-6	9.833298702938061e-6
2.2729449968624552e21	50.320652418732635	1.1205183667272951e-17	8.87904195870023e-20	2.8649873660631473e-20	-1.3134249243198183e-19	-1.0734290875821881e-17	-4.59656456714231e-19	-1.0974271316174794e-21	-2.1621192357472383e-23
2.374620898547327e21	49.491806464314465	1.0446645625927236e-17	6.465533792171931e-20	2.4469624961744802e-20	-1.1803454382144795e-19	-9.964906929292827e-18	-4.545321999362109e-19	-1.2781971836761424e-21	-2.3917393597376457e-23
2.4762968002424487e21	48.662961748063566	9.661130564435715e-18	4.720908491062697e-20	2.141418943316451e-20	-1.0515848107988903e-19	-9.176732147593096e-18	-4.487756377226503e-19	-1.5119679664204812e-21	-2.677031560547049e-23
2.5779727019426044e21	47.83411579364538	8.848518987247839e-18	3.454390646287414e-20	1.913040068117741e-20	-9.275809758276881e-20	-8.367373144811655e-18	-4.422430760055266e-19	-1.7962578467363416e-21	-3.0330120284453675e-23
2.679648603644035e21	47.0052679387927	8.008841333935606e-18	2.5315631491064495e-20	1.7376935077340383e-20	-8.088199090964357e-20	-7.535422474857505e-18	-4.347493105956278e-19	-2.1292086385831103e-21	-3.4838328590763505e-23
2.7813245053448524e21	46.17642198437453	7.142344414442279e-18	1.8570139724668897e-20	1.5994197931696198e-20	-6.956997994836426e-20	-6.6801871282969e-18	-4.2604280904933677e-19	-2.5087636870199623e-21	-4.067936889152992e-23
2.8830004070430854e21	45.34757602995634	6.2495192489771956e-18	1.3625706940378765e-20	1.488313629085416e-20	-5.884706359651757e-20	-5.8016850377979314e-18	-4.157654990049049e-19	-2.932170417862347e-21	-4.848611174483957e-23
2.984676308736347e21	44.51873007553816	5.331118801008157e-18	9.99217824111008e-21	1.396979475527872e-20	-4.871736247451261e-20	-4.9006387393292025e-18	-4.033768902166408e-19	-3.394310585105523e-21	-5.936753914242558e-23
3.0863522104209053e21	43.689884121119974	4.388167774932413e-18	7.314948580016706e-21	1.3195099324313467e-20	-3.9157145639528706e-20	-3.978544701819016e-18	-3.8799797153237467e-19	-3.890065395711748e-21	-7.545324881484219e-23
3.188028112090161e21	42.861037504434584	3.4219716867543495e-18	5.3356062194452006e-21	1.2521537962151655e-20	-3.010382920339773e-20	-3.0380671814543474e-18	-3.6804909626438585e-19	-4.398064118443443e-21	-1.0138763049131266e-22
3.2897040137310076e21	42.0321915500164	2.4341475770731348e-18	3.863205923217451e-21	1.1927491546501464e-20	-2.1425449329426942e-20	-2.0840969843495865e-18	-3.402263059050259e-19	-4.8707077323971176e-21	-1.4955293684143399e-22
