     200   number of z grid-points
          13          12   important heating & cooling processes
      32   number of CO lines
        N<H>       Tdust        Tgas           H          H2          e-           O          C+           C          CO          CH         CH4          OH         H2O
 5.05744E+19 1.00215E+02 3.09274E+03 3.15962E+05 1.91756E+00 6.31873E+01 9.31381E+01 2.84335E+01 3.17117E-03 3.09483E-03 5.77132E-08 3.90932E-24 1.48825E+00 5.25911E-06
 5.42103E+19 9.98839E+01 3.07450E+03 3.15963E+05 1.99778E+00 6.25278E+01 9.31136E+01 2.84332E+01 3.29340E-03 3.22092E-03 6.38001E-08 4.85787E-24 1.51184E+00 5.64657E-06
 5.81075E+19 9.95559E+01 3.05732E+03 3.15963E+05 2.08831E+00 6.18559E+01 9.30868E+01 2.84330E+01 3.42788E-03 3.36050E-03 7.05658E-08 6.09889E-24 1.53760E+00 6.08068E-06
 6.22850E+19 9.92019E+01 3.03929E+03 3.15963E+05 2.19071E+00 6.11697E+01 9.30581E+01 2.84327E+01 3.57599E-03 3.51417E-03 7.84901E-08 7.78022E-24 1.56523E+00 6.57856E-06
 6.67627E+19 9.88190E+01 3.02136E+03 3.15964E+05 2.30723E+00 6.04718E+01 9.30270E+01 2.84323E+01 3.73949E-03 3.68429E-03 8.75934E-08 1.00733E-23 1.59513E+00 7.14712E-06
 7.15624E+19 9.84171E+01 3.00260E+03 3.15964E+05 2.44049E+00 5.97623E+01 9.29936E+01 2.84319E+01 3.92032E-03 3.87240E-03 9.83357E-08 1.32867E-23 1.62725E+00 7.80541E-06
 7.67071E+19 9.79947E+01 2.98395E+03 3.15964E+05 2.59399E+00 5.90436E+01 9.29574E+01 2.84315E+01 4.12073E-03 4.08152E-03 1.10795E-07 1.78318E-23 1.66203E+00 8.58498E-06
 8.22217E+19 9.75517E+01 2.96542E+03 3.15965E+05 2.77207E+00 5.83173E+01 9.29182E+01 2.84310E+01 4.34347E-03 4.31458E-03 1.25309E-07 2.44015E-23 1.69971E+00 9.49608E-06
 8.81327E+19 9.70875E+01 2.94793E+03 3.15965E+05 2.98036E+00 5.75860E+01 9.28754E+01 2.84305E+01 4.59170E-03 4.57571E-03 1.41941E-07 3.40348E-23 1.74083E+00 1.05558E-05
 9.44687E+19 9.66149E+01 2.92962E+03 3.15965E+05 3.22611E+00 5.68493E+01 9.28293E+01 2.84299E+01 4.86903E-03 4.86752E-03 1.61860E-07 4.87427E-23 1.78513E+00 1.18190E-05
