      heat_1      heat_2      heat_3      heat_4      heat_5      heat_6      heat_7      heat_8      heat_9     heat_10     heat_11     heat_12     heat_13      cool_1      cool_2      cool_3      cool_4      cool_5      cool_6      cool_7      cool_8      cool_9     cool_10     cool_11     cool_12
 2.12334E-17 1.48627E-18 1.92543E-18 1.07752E-18 0.00000E+00 4.14483E-20 3.47552E-22 1.71845E-19 4.78638E-29 4.32996E-17 1.07286E-25 6.93553E-19 9.25826E-28 2.82104E-19 1.99085E-17 3.72448E-17 1.00556E-25 2.10292E-19 7.55477E-19 1.22655E-23 9.10485E-23 4.34169E-18 6.77471E-18 1.16386E-26 1.86208E-24
 2.12197E-17 1.49377E-18 1.92519E-18 1.07854E-18 0.00000E+00 4.14712E-20 3.47552E-22 1.58838E-19 4.75554E-29 4.32858E-17 1.04573E-25 6.94349E-19 9.00763E-28 2.81627E-19 1.98928E-17 3.72316E-17 1.00868E-25 2.10541E-19 7.56269E-19 1.23039E-23 9.10802E-23 4.34664E-18 6.76729E-18 1.16532E-26 1.86107E-24
 2.12049E-17 1.50131E-18 1.92497E-18 1.07957E-18 0.00000E+00 4.14960E-20 3.47552E-22 1.50071E-19 4.72802E-29 4.32703E-17 1.02295E-25 6.95150E-19 8.78421E-28 2.81222E-19 1.98770E-17 3.72217E-17 1.01209E-25 2.10804E-19 7.57054E-19 1.23453E-23 9.11496E-23 4.35122E-18 6.75955E-18 1.16736E-26 1.86054E-24
 2.11889E-17 1.50892E-18 1.92477E-18 1.08059E-18 0.00000E+00 4.15230E-20 3.47552E-22 1.41818E-19 4.69846E-29 4.32529E-17 9.99736E-26 6.95964E-19 8.55130E-28 2.80813E-19 1.98613E-17 3.72120E-17 1.01580E-25 2.11081E-19 7.57855E-19 1.23893E-23 9.12347E-23 4.35605E-18 6.75149E-18 1.16968E-26 1.86004E-24
 2.11716E-17 1.51657E-18 1.92460E-18 1.08156E-18 0.00000E+00 4.15521E-20 3.47552E-22 1.67420E-19 4.72969E-29 4.32335E-17 1.03222E-25 6.96754E-19 8.77052E-28 2.81275E-19 1.98455E-17 3.72294E-17 1.01982E-25 2.11368E-19 7.58653E-19 1.24424E-23 9.15821E-23 4.35537E-18 6.74307E-18 1.17659E-26 1.86539E-24
 2.11515E-17 1.52131E-18 1.92463E-18 1.08218E-18 0.00000E+00 4.15852E-20 3.47552E-22 1.89047E-19 4.98249E-29 4.32075E-17 1.14623E-25 6.97317E-19 9.96070E-28 2.82866E-19 1.98360E-17 3.72449E-17 1.02445E-25 2.11650E-19 7.59444E-19 1.25084E-23 9.21578E-23 4.35395E-18 6.73540E-18 1.19324E-26 1.88686E-24
 2.11328E-17 1.53206E-18 1.92431E-18 1.08361E-18 0.00000E+00 4.16176E-20 3.47552E-22 1.75482E-19 4.93430E-29 4.31884E-17 1.11075E-25 6.98431E-19 9.61047E-28 2.82255E-19 1.98140E-17 3.72302E-17 1.02891E-25 2.12002E-19 7.60327E-19 1.25638E-23 9.22246E-23 4.36021E-18 6.72509E-18 1.19542E-26 1.88533E-24
 2.11125E-17 1.54291E-18 1.92401E-18 1.08504E-18 0.00000E+00 4.16527E-20 3.47552E-22 1.71904E-19 4.95598E-29 4.31670E-17 1.11156E-25 6.99552E-19 9.62301E-28 2.82174E-19 1.97921E-17 3.72235E-17 1.03375E-25 2.12373E-19 7.61213E-19 1.26278E-23 9.24328E-23 4.36461E-18 6.71436E-18 1.20147E-26 1.88936E-24
 2.10906E-17 1.55386E-18 1.92374E-18 1.08648E-18 0.00000E+00 4.16908E-20 3.47553E-22 1.60083E-19 4.90965E-29 4.31430E-17 1.07669E-25 7.00699E-19 9.27378E-28 2.81572E-19 1.97701E-17 3.72098E-17 1.03906E-25 2.12767E-19 7.62105E-19 1.26910E-23 9.25459E-23 4.37149E-18 6.70318E-18 1.20467E-26 1.88844E-24
 2.10683E-17 1.56797E-18 1.92330E-18 1.08830E-18 0.00000E+00 4.17304E-20 3.47553E-22 1.55609E-19 4.93243E-29 4.31210E-17 1.07634E-25 7.02112E-19 9.27413E-28 2.81461E-19 1.97419E-17 3.72018E-17 1.04450E-25 2.13207E-19 7.63024E-19 1.27666E-23 9.27694E-23 4.37633E-18 6.69043E-18 1.21140E-26 1.89282E-24
 2.10429E-17 1.57915E-18 1.92309E-18 1.08976E-18 0.00000E+00 4.17749E-20 3.47553E-22 1.47135E-19 4.91949E-29 4.30915E-17 1.05622E-25 7.03295E-19 9.07694E-28 2.81069E-19 1.97200E-17 3.71905E-17 1.05078E-25 2.13647E-19 7.63887E-19 1.28410E-23 9.29756E-23 4.38333E-18 6.67827E-18 1.21719E-26 1.89487E-24
 2.10168E-17 1.59355E-18 1.92272E-18 1.09161E-18 0.00000E+00 4.18214E-20 3.47553E-22 1.39377E-19 4.90500E-29 4.30636E-17 1.03684E-25 7.04754E-19 8.87538E-28 2.80686E-19 1.96919E-17 3.71793E-17 1.05729E-25 2.14138E-19 7.64768E-19 1.29239E-23 9.31911E-23 4.39012E-18 6.66448E-18 1.22330E-26 1.89698E-24
 2.09887E-17 1.60810E-18 1.92239E-18 1.09340E-18 0.00000E+00 4.18718E-20 3.47553E-22 1.65629E-19 5.00272E-29 4.30325E-17 1.08729E-25 7.06199E-19 9.31156E-28 2.81293E-19 1.96638E-17 3.71953E-17 1.06437E-25 2.14650E-19 7.65603E-19 1.30208E-23 9.37074E-23 4.39139E-18 6.65013E-18 1.23607E-26 1.90830E-24
 2.09571E-17 1.61965E-18 1.92229E-18 1.09486E-18 0.00000E+00 4.19278E-20 3.47553E-22 1.82281E-19 5.23089E-29 4.29934E-17 1.19086E-25 7.07431E-19 1.03691E-27 2.82636E-19 1.96420E-17 3.72045E-17 1.07239E-25 2.15170E-19 7.66388E-19 1.31286E-23 9.43863E-23 4.39345E-18 6.63628E-18 1.25569E-26 1.92941E-24
