     NH               Temp.Gaz         Ab..h            Ab..h2           Ab..c            Ab..co        
   4.77096655E+21  8.58327731E+000  5.44631867E+000  4.97276715E+002  5.62053004E-002  4.27058608E-002
   4.86451492E+21  8.35049382E+000  5.53318613E+000  4.97233261E+002  4.98515049E-002  4.92661882E-002
   4.95806327E+21  8.16557166E+000  5.60826460E+000  4.97195697E+002  4.36220982E-002  5.56599894E-002
   5.05161163E+21  8.02421097E+000  5.66748082E+000  4.97166061E+002  3.77920562E-002  6.16179406E-002
   5.14515997E+21  7.92047809E+000  5.71863598E+000  4.97140452E+002  3.25331842E-002  6.69744263E-002
   5.26209540E+21  7.83288642E+000  5.76752581E+000  4.97115963E+002  2.68393181E-002  7.27574486E-002
   5.37903081E+21  7.78078026E+000  5.80468933E+000  4.97097332E+002  2.20993826E-002  7.75597874E-002
   5.43749852E+21  7.76523340E+000  5.82132282E+000  4.97088989E+002  2.00584893E-002  7.96244799E-002
   5.48134929E+21  7.75704807E+000  5.83113888E+000  4.97084061E+002  1.86562115E-002  8.10421147E-002
   5.51423737E+21  7.75269457E+000  5.83749694E+000  4.97080867E+002  1.76735496E-002  8.20350627E-002
   5.56356949E+21  7.74866481E+000  5.84511701E+000  4.97077034E+002  1.63040476E-002  8.34182604E-002
   5.61290160E+21  7.74743507E+000  5.85175208E+000  4.97073692E+002  1.50502366E-002  8.46839933E-002
   5.70897938E+21  7.75684683E+000  5.85193864E+000  4.97073552E+002  1.29053533E-002  8.68479220E-002
   5.80505715E+21  7.79333627E+000  5.85053007E+000  4.97074207E+002  1.10974989E-002  8.86706288E-002
   5.90113490E+21  7.83216450E+000  5.84540638E+000  4.97076719E+002  9.57627776E-003  9.02036635E-002
   5.99721265E+21  7.87263453E+000  5.83848339E+000  4.97080130E+002  8.29237692E-003  9.14971382E-002
   6.09329039E+21  7.91435129E+000  5.83012222E+000  4.97084259E+002  7.20459897E-003  9.25928187E-002
   6.18936812E+21  7.96017704E+000  5.81974811E+000  4.97089395E+002  6.27880115E-003  9.35252541E-002
   6.28544584E+21  8.00709053E+000  5.80800403E+000  4.97095214E+002  5.48758424E-003  9.43221424E-002
   6.38152354E+21  8.05406722E+000  5.79549469E+000  4.97101416E+002  4.80853557E-003  9.50061116E-002
   6.47760124E+21  8.10107795E+000  5.78241207E+000  4.97107904E+002  4.22341615E-003  9.55955590E-002
   6.57367893E+21  8.14808259E+000  5.76884081E+000  4.97114636E+002  3.71742038E-003  9.61054081E-002
   6.66975661E+21  8.19502765E+000  5.75484680E+000  4.97121579E+002  3.27849280E-003  9.65478027E-002
   6.76583427E+21  8.24184632E+000  5.74048189E+000  4.97128706E+002  2.89673889E-003  9.69327037E-002
   6.86191193E+21  8.28845956E+000  5.72578428E+000  4.97136000E+002  2.56398179E-003  9.72683377E-002
   6.95798957E+21  8.33477780E+000  5.71077908E+000  4.97143447E+002  2.27341256E-003  9.75615507E-002
   7.05406721E+21  8.38070315E+000  5.69547902E+000  4.97151040E+002  2.01931259E-003  9.78180879E-002
   7.15014483E+21  8.42613162E+000  5.67988557E+000  4.97158780E+002  1.79684102E-003  9.80428092E-002
   7.24622244E+21  8.47095546E+000  5.66399020E+000  4.97166671E+002  1.60186890E-003  9.82398561E-002
   7.34206817E+21  8.51495989E+000  5.64780599E+000  4.97174706E+002  1.43123925E-003  9.84123892E-002
   7.43791389E+21  8.55814583E+000  5.63128944E+000  4.97182908E+002  1.28141514E-003  9.85639549E-002
   7.53375960E+21  8.61106511E+000  5.61194291E+000  4.97192524E+002  1.15000054E-003  9.86969797E-002
   7.62960530E+21  8.66343071E+000  5.59128398E+000  4.97202797E+002  1.03446902E-003  9.88139640E-002
   7.72545099E+21  8.71434897E+000  5.57022308E+000  4.97213271E+002  9.32815365E-004  9.89169097E-002
   7.82129666E+21  8.76371357E+000  5.54883507E+000  4.97223910E+002  8.43299905E-004  9.90075548E-002
   7.91714233E+21  8.81143003E+000  5.52709570E+000  4.97234726E+002  7.64405005E-004  9.90874161E-002
   8.01298798E+21  8.85742005E+000  5.50497693E+000  4.97245733E+002  6.94807332E-004  9.91578170E-002
   8.10883363E+21  8.90162323E+000  5.48245414E+000  4.97256944E+002  6.33353339E-004  9.92199125E-002
   8.20467926E+21  8.94399812E+000  5.45950827E+000  4.97268369E+002  5.79037715E-004  9.92747110E-002
   8.30052489E+21  8.98452290E+000  5.43612775E+000  4.97280014E+002  5.30984387E-004  9.93230936E-002
   8.39637051E+21  9.02319581E+000  5.41231033E+000  4.97291879E+002  4.88430027E-004  9.93658303E-002
   8.49221612E+21  9.06003500E+000  5.38806470E+000  4.97303962E+002  4.50709517E-004  9.94035947E-002
   8.58806172E+21  9.09507799E+000  5.36341189E+000  4.97316252E+002  4.17243206E-004  9.94369766E-002
   8.68390732E+21  9.12838058E+000  5.33838622E+000  4.97328732E+002  3.87525699E-004  9.94664928E-002
   8.77975291E+21  9.16001526E+000  5.31303584E+000  4.97341377E+002  3.61116057E-004  9.94925967E-002
   8.87559849E+21  9.19006917E+000  5.28742259E+000  4.97354157E+002  3.37629236E-004  9.95156866E-002
   8.97144407E+21  9.21864169E+000  5.26162132E+000  4.97367035E+002  3.16728617E-004  9.95361124E-002
   9.06728965E+21  9.24584167E+000  5.23571846E+000  4.97379967E+002  2.98119503E-004  9.95541822E-002
   9.16313522E+21  9.27178453E+000  5.20981004E+000  4.97392904E+002  2.81543463E-004  9.95701674E-002
   9.25898079E+21  9.29658930E+000  5.18399909E+000  4.97405797E+002  2.66773449E-004  9.95843070E-002
   9.35482636E+21  9.32037571E+000  5.15839269E+000  4.97418589E+002  2.53609570E-004  9.95968124E-002
   9.44837433E+21  9.34272287E+000  5.13363294E+000  4.97430962E+002  2.42141058E-004  9.96076207E-002
   9.54192230E+21  9.36431681E+000  5.10933461E+000  4.97443105E+002  2.31889477E-004  9.96172035E-002
   9.63547027E+21  9.38525821E+000  5.08552940E+000  4.97455005E+002  2.22725587E-004  9.96256975E-002
   9.72901824E+21  9.40563909E+000  5.06229969E+000  4.97466618E+002  2.14534437E-004  9.96332239E-002
   9.82256621E+21  9.42554343E+000  5.03972201E+000  4.97477906E+002  2.07213502E-004  9.96398909E-002
   9.91611418E+21  9.44504609E+000  5.01786227E+000  4.97488837E+002  2.00671191E-004  9.96457946E-002
   1.00096622E+22  9.46421262E+000  4.99677459E+000  4.97499383E+002  1.94825591E-004  9.96510207E-002
   1.01032101E+22  9.48309913E+000  4.97650084E+000  4.97509522E+002  1.89603381E-004  9.96556456E-002
   1.01967581E+22  9.50175260E+000  4.95707071E+000  4.97519241E+002  1.84938897E-004  9.96597374E-002
   1.02903061E+22  9.52021135E+000  4.93850217E+000  4.97528529E+002  1.80773320E-004  9.96633566E-002
   1.03838540E+22  9.53850564E+000  4.92080234E+000  4.97537382E+002  1.77053958E-004  9.96665573E-002
   1.04774020E+22  9.55665854E+000  4.90396848E+000  4.97545803E+002  1.73733614E-004  9.96693873E-002
   1.05709500E+22  9.57468665E+000  4.88798929E+000  4.97553797E+002  1.70770028E-004  9.96718895E-002
   1.06644980E+22  9.59260102E+000  4.87284615E+000  4.97561373E+002  1.68125369E-004  9.96741015E-002
   1.07580459E+22  9.61040797E+000  4.85851450E+000  4.97568542E+002  1.65765784E-004  9.96760570E-002
