     120   number of z grid-points
      38   number of CO lines
        N<H>       Tdust        Tgas           H          H2          e-           O          C+           C          CO          CH         CH4          OH         H2O
 1.05913E+23 2.00000E+01 9.01163E+03 9.12412E+02 1.02591E-02 9.54723E+01 2.78324E-01 3.46386E-02 6.21131E-02 7.07879E-09 3.74224E-08 2.32815E-26 1.34777E-06 6.20862E-13
 1.26060E+23 2.00000E+01 8.73602E+03 9.24057E+02 1.17558E-02 8.26461E+01 2.81206E-01 2.98357E-02 6.78716E-02 1.13761E-08 4.62927E-08 5.14499E-26 1.77554E-06 1.07458E-12
 1.50040E+23 2.00000E+01 8.42049E+03 9.34603E+02 1.39202E-02 7.10493E+01 2.83800E-01 2.52243E-02 7.31850E-02 1.88239E-08 5.76040E-08 1.25069E-25 2.43314E-06 2.01305E-12
 1.78582E+23 2.00000E+01 8.03693E+03 9.44151E+02 1.75057E-02 6.05686E+01 2.86134E-01 2.09365E-02 7.79789E-02 3.30744E-08 7.36229E-08 3.68226E-25 3.57401E-06 4.32999E-12
 2.12554E+23 2.00000E+01 7.52615E+03 9.52825E+02 2.48448E-02 5.10672E+01 2.88237E-01 1.70180E-02 8.22557E-02 6.56722E-08 1.01578E-07 1.65000E-24 6.00450E-06 1.21616E-11
 2.52988E+23 2.00000E+01 6.74265E+03 9.60849E+02 4.81744E-02 4.22888E+01 2.90155E-01 1.33952E-02 8.61281E-02 1.77153E-07 1.79404E-07 2.39925E-23 1.40798E-05 6.63782E-11
 3.01113E+23 2.00000E+01 2.54330E+03 9.60664E+02 8.87026E+00 2.41677E+01 2.92455E-01 5.61618E-03 9.42036E-02 1.20079E-05 3.08556E-05 6.63091E-14 1.27604E-03 1.96066E-06
 3.58393E+23 2.00000E+01 2.02813E+03 9.58946E+02 1.25464E+01 1.80350E+01 2.94141E-01 3.53606E-03 9.63682E-02 1.06766E-05 1.61689E-05 4.30461E-14 1.06166E-03 1.91885E-06
 4.26570E+23 2.00000E+01 1.53309E+03 9.53578E+02 1.75433E+01 1.30010E+01 2.95784E-01 2.19347E-03 9.77626E-02 7.14755E-06 3.86317E-06 4.37698E-15 6.80423E-04 1.30509E-06
 5.07715E+23 2.00000E+01 1.19149E+03 9.45430E+02 2.33889E+01 9.11680E+00 2.96977E-01 1.94323E-03 9.80351E-02 5.43603E-06 6.36600E-07 1.99452E-16 4.68043E-04 1.16281E-06
 6.04297E+23 2.00000E+01 9.53282E+02 9.32651E+02 3.11363E+01 6.11420E+00 2.97736E-01 2.18742E-03 9.77993E-02 6.14434E-06 9.25666E-08 3.49848E-17 4.54394E-04 2.15242E-06
