     200   number of z grid-points
           5          14   important heating & cooling processes
      32   number of CO lines
        N<H>       Tdust        Tgas           H          H2          e-           O          C+           C          CO          CH         CH4          OH         H2O
 2.73905E+21 3.00000E+00 7.79334E+03 3.08652E+05 8.99473E+00 8.15310E+03 9.29529E+01 5.34510E+00 2.29350E+01 4.04980E-04 2.39125E-05 2.28252E-21 2.53676E-02 1.13010E-07
 2.97013E+21 3.00000E+00 7.78263E+03 3.08707E+05 9.06171E+00 8.09232E+03 9.29660E+01 5.31462E+00 2.29676E+01 4.11686E-04 2.41464E-05 2.38110E-21 2.55885E-02 1.15655E-07
 3.22071E+21 3.00000E+00 7.76998E+03 3.08765E+05 9.14182E+00 8.02665E+03 9.29801E+01 5.28170E+00 2.30027E+01 4.19223E-04 2.44203E-05 2.49966E-21 2.58394E-02 1.18731E-07
 3.49242E+21 3.00000E+00 7.75541E+03 3.08829E+05 9.23548E+00 7.95583E+03 9.29953E+01 5.24618E+00 2.30406E+01 4.27671E-04 2.47363E-05 2.64112E-21 2.61222E-02 1.22282E-07
 3.78707E+21 3.00000E+00 7.74087E+03 3.08897E+05 9.33017E+00 7.88018E+03 9.30116E+01 5.20811E+00 2.30812E+01 4.36821E-04 2.50623E-05 2.79490E-21 2.64212E-02 1.26080E-07
 4.10657E+21 3.00000E+00 7.72418E+03 3.08970E+05 9.44067E+00 7.79876E+03 9.30290E+01 5.16709E+00 2.31249E+01 4.47095E-04 2.54382E-05 2.97953E-21 2.67582E-02 1.30476E-07
 4.45302E+21 3.00000E+00 7.70512E+03 3.09049E+05 9.56931E+00 7.71121E+03 9.30478E+01 5.12293E+00 2.31719E+01 4.58649E-04 2.58711E-05 3.20255E-21 2.71384E-02 1.35574E-07
 4.82870E+21 3.00000E+00 7.68611E+03 3.09132E+05 9.69991E+00 7.61797E+03 9.30677E+01 5.07571E+00 2.32221E+01 4.71223E-04 2.63195E-05 3.44912E-21 2.75412E-02 1.41074E-07
 5.23608E+21 3.00000E+00 7.66234E+03 3.09223E+05 9.86714E+00 7.51732E+03 9.30892E+01 5.02474E+00 2.32763E+01 4.85766E-04 2.68772E-05 3.77110E-21 2.80171E-02 1.47841E-07
 5.67783E+21 3.00000E+00 7.63866E+03 3.09319E+05 1.00377E+01 7.41042E+03 9.31121E+01 4.97037E+00 2.33340E+01 5.01651E-04 2.74569E-05 4.13307E-21 2.85223E-02 1.55196E-07
 6.15684E+21 3.00000E+00 7.61028E+03 3.09422E+05 1.02479E+01 7.29557E+03 9.31365E+01 4.91188E+00 2.33961E+01 5.19934E-04 2.81586E-05 4.60148E-21 2.91104E-02 1.64130E-07
 6.67627E+21 3.00000E+00 7.57963E+03 3.09532E+05 1.04820E+01 7.17326E+03 9.31626E+01 4.84936E+00 2.34623E+01 5.40460E-04 2.89423E-05 5.17199E-21 2.97628E-02 1.74418E-07
 7.23952E+21 3.00000E+00 7.54674E+03 3.09649E+05 1.07416E+01 7.04324E+03 9.31902E+01 4.78264E+00 2.35330E+01 5.63529E-04 2.98153E-05 5.87076E-21 3.04855E-02 1.86281E-07
 7.85029E+21 3.00000E+00 7.50929E+03 3.09773E+05 1.10487E+01 6.90464E+03 9.32196E+01 4.71129E+00 2.36084E+01 5.90002E-04 3.08415E-05 6.77798E-21 3.13138E-02 2.00563E-07
 8.51259E+21 3.00000E+00 7.46733E+03 3.09905E+05 1.14076E+01 6.75731E+03 9.32508E+01 4.63512E+00 2.36888E+01 6.20380E-04 3.20383E-05 7.96398E-21 3.22588E-02 2.17751E-07
 9.23076E+21 3.00000E+00 7.41863E+03 3.10046E+05 1.18455E+01 6.60049E+03 9.32838E+01 4.55369E+00 2.37747E+01 6.55835E-04 3.34883E-05 9.59589E-21 3.33649E-02 2.39163E-07
 1.00095E+22 3.00000E+00 7.36562E+03 3.10195E+05 1.23494E+01 6.43480E+03 9.33186E+01 4.46718E+00 2.38658E+01 6.96603E-04 3.51627E-05 1.17850E-20 3.46203E-02 2.65067E-07
 1.08540E+22 3.00000E+00 7.30150E+03 3.10354E+05 1.30006E+01 6.25837E+03 9.33553E+01 4.37446E+00 2.39632E+01 7.45555E-04 3.73048E-05 1.50853E-20 3.61472E-02 2.99222E-07
 1.17697E+22 3.00000E+00 7.23110E+03 3.10520E+05 1.37716E+01 6.07261E+03 9.33939E+01 4.27611E+00 2.40664E+01 8.02870E-04 3.98517E-05 1.98727E-20 3.79160E-02 3.42222E-07
 1.27627E+22 3.00000E+00 7.14608E+03 3.10697E+05 1.47907E+01 5.87541E+03 9.34343E+01 4.17066E+00 2.41768E+01 8.73166E-04 4.31991E-05 2.77556E-20 4.01158E-02 4.01441E-07
 1.38394E+22 3.00000E+00 7.04935E+03 3.10883E+05 1.60809E+01 5.66784E+03 9.34765E+01 4.06954E+00 2.42829E+01 9.59296E-04 4.74261E-05 4.08784E-20 4.27881E-02 4.81970E-07
 1.50070E+22 3.00000E+00 6.93298E+03 3.11080E+05 1.78468E+01 5.44810E+03 9.35203E+01 3.94934E+00 2.44082E+01 1.06752E-03 5.32340E-05 6.57149E-20 4.62235E-02 6.00407E-07
 1.62730E+22 3.00000E+00 6.79118E+03 3.11287E+05 2.03749E+01 5.21505E+03 9.35656E+01 3.82096E+00 2.45416E+01 1.20920E-03 6.15542E-05 1.19012E-19 5.08115E-02 7.86229E-07
 1.76459E+22 3.00000E+00 6.62001E+03 3.11506E+05 2.41131E+01 4.96793E+03 9.36117E+01 3.68383E+00 2.46838E+01 1.40059E-03 7.39073E-05 2.50896E-19 5.71323E-02 1.09691E-06
 1.91346E+22 3.00000E+00 6.40828E+03 3.11737E+05 3.01143E+01 4.70363E+03 9.36579E+01 3.53581E+00 2.48369E+01 1.67662E-03 9.38518E-05 6.63072E-19 6.64939E-02 1.68171E-06
 2.07490E+22 3.00000E+00 6.14437E+03 3.11980E+05 4.06739E+01 4.41743E+03 9.37017E+01 3.37400E+00 2.50036E+01 2.11027E-03 1.29257E-04 2.43548E-18 8.16144E-02 2.96353E-06
 2.24995E+22 3.00000E+00 5.80911E+03 3.12234E+05 6.21670E+01 4.09770E+03 9.37369E+01 3.19192E+00 2.51903E+01 2.89660E-03 2.02220E-04 1.50419E-17 1.09775E-01 6.55138E-06
 2.43977E+22 3.00000E+00 1.98311E+03 2.87332E+05 1.39411E+04 9.88539E+02 8.97197E+01 1.29895E+00 2.69851E+01 1.28403E-01 1.79977E-02 4.10839E-08 4.12552E+00 1.62740E-01
