# AVeff	Tgas[K]	H (cm^-3)	H2(cm^-3)	C(cm^-3)	CO(cm^-3)	AV (perpendicular) for comparison
0.17638864755078826	143.64533434768194	0.011919497202371144	0.49404020582002717	1.102646965273164e-7	6.786719302766439e-10	0.062164228522718384
0.17909469627430968	143.04093275885842	0.011737686362517036	0.4941311110689335	1.113253593569391e-7	6.865151127748766e-10	0.06340814780663995
0.18178780632545205	142.4338240235449	0.011561185151431749	0.4942193614971206	1.1240487968327653e-7	6.944265122368606e-10	0.06465206709013387
0.18446829283655342	141.8983453183016	0.011389301300135962	0.49430530327198247	1.1336952907480005e-7	7.022286013037507e-10	0.06589598637318449
0.18713645785563215	141.42298122725538	0.01122194415087394	0.4943889817182783	1.1423607409874916e-7	7.099424640503013e-10	0.06713990565585784
0.18979259111350194	140.94600997265508	0.011059271807444232	0.4944703177570806	1.1511482310615417e-7	7.177149852367537e-10	0.06838382493820977
0.19243697073313143	140.46741386501324	0.010901021270901255	0.4945494428879	1.1600602647605429e-7	7.255469420064708e-10	0.06962774422022909
0.19506986388674039	139.9871652673688	0.01074701355193099	0.4946264466053844	1.1690994296259713e-7	7.334388570779697e-10	0.0708716635019046
0.1976915274049439	139.5052371859746	0.010597067373878673	0.4947014195478521	1.1782683919618657e-7	7.413908298903615e-10	0.0721155827832251
0.20030220834232562	139.02160497539504	0.010451049544145804	0.4947744283115693	1.1875698652225885e-7	7.49401529862746e-10	0.07335950206417922
0.20290214450322688	138.53640692860793	0.010310036977544205	0.49484493443855826	1.1970061158908787e-7	7.573381274309287e-10	0.07460342134475526
0.20549156493115722	138.0497328357111	0.010174744225857471	0.4949125806525035	1.2065796105409617e-7	7.651905707096215e-10	0.07584734062493972
0.2106397336652624	137.07090222651297	0.009915669181250343	0.4950421178362245	1.2261530249317927e-7	7.809849474688309e-10	0.07833517918467853
0.2208190884959011	135.0908759819194	0.00943323233720882	0.4952833355242673	1.2670940604202924e-7	8.133072374955446e-10	0.08331085630143925
0.24075012322599415	131.03398577690245	0.00857056165539713	0.49571466916450385	1.3569454022324543e-7	8.836083883401633e-10	0.09326221052271817
0.26496036506398163	126.67384220523543	0.0076610106905678176	0.496169442584798	1.4637991483522313e-7	9.76776932779135e-10	0.10570140325792891
0.2884992579732429	122.69620055795411	0.006904832693923229	0.4965475294179922	1.5718760498540397e-7	1.0759472630476018e-9	0.11814059594122596
0.3114587818783305	118.58828663120607	0.006269445822242695	0.49686522023308505	1.6954185210443513e-7	1.183753726447566e-9	0.1305797885701863
0.33391133312045296	114.34075243194138	0.005728742841715727	0.4971355685520709	1.8378159763506098e-7	1.3013109631004777e-9	0.14301898113363834
0.3559151825537761	110.94024024337685	0.005257146822753077	0.4973713637178449	1.964816079137334e-7	1.4237264185495442e-9	0.15545817361801578
0.37751810458644114	107.8778724679254	0.004844479031093949	0.49757769474778485	2.0903823924359939e-7	1.5535731174423008e-9	0.16789736603145444
