# NH             T_dust     hc_photo     hc_h2vib     hc_h2form    hc_gasgrain  hc_OI        hc_CII       hc_CO        hc_CI
  2.5899e-06  1.2365e-05    
  1.5345e+15     122.2974   6.7378e-17   2.9533e-18   1.3453e-18  -1.7453e-17  -4.0530e-17  -2.7148e-19  -2.4885e-30  -9.8431e-25
  1.5922e+15     122.2974   6.7378e-17   2.9533e-18   1.3453e-18  -1.7453e-17  -4.0530e-17  -2.7148e-19  -2.4887e-30  -9.8431e-25
  1.6521e+15     122.2974   6.7378e-17   2.9533e-18   1.3453e-18  -1.7453e-17  -4.0530e-17  -2.7148e-19  -2.4890e-30  -9.8431e-25
  1.7142e+15     122.2974   6.7378e-17   2.9533e-18   1.3453e-18  -1.7453e-17  -4.0530e-17  -2.7148e-19  -2.4892e-30  -9.8431e-25
  1.7787e+15     122.2974   6.7378e-17   2.9533e-18   1.3453e-18  -1.7453e-17  -4.0530e-17  -2.7148e-19  -2.4895e-30  -9.8431e-25
  1.8456e+15     122.2974   6.7378e-17   2.9533e-18   1.3453e-18  -1.7453e-17  -4.0530e-17  -2.7148e-19  -2.4897e-30  -9.8431e-25
  1.9150e+15     122.2974   6.7378e-17   2.9533e-18   1.3453e-18  -1.7453e-17  -4.0530e-17  -2.7148e-19  -2.4900e-30  -9.8431e-25
  1.9870e+15     122.2974   6.7378e-17   2.9533e-18   1.3453e-18  -1.7453e-17  -4.0530e-17  -2.7148e-19  -2.4903e-30  -9.8431e-25
  2.0617e+15     122.2974   6.7378e-17   2.9533e-18   1.3453e-18  -1.7453e-17  -4.0530e-17  -2.7148e-19  -2.4905e-30  -9.8431e-25
  2.1393e+15     122.2974   6.7378e-17   2.9533e-18   1.3453e-18  -1.7453e-17  -4.0530e-17  -2.7148e-19  -2.4908e-30  -9.8431e-25
  2.2197e+15     122.2974   6.7378e-17   2.9533e-18   1.3453e-18  -1.7453e-17  -4.0530e-17  -2.7148e-19  -2.4910e-30  -9.8431e-25
  2.3032e+15     122.2974   6.7378e-17   2.9533e-18   1.3453e-18  -1.7453e-17  -4.0530e-17  -2.7148e-19  -2.4913e-30  -9.8431e-25
  2.3898e+15     122.2974   6.7378e-17   2.9533e-18   1.3453e-18  -1.7453e-17  -4.0530e-17  -2.7148e-19  -2.4915e-30  -9.8431e-25
  2.4797e+15     122.2974   6.7378e-17   2.9533e-18   1.3453e-18  -1.7453e-17  -4.0530e-17  -2.7148e-19  -2.4918e-30  -9.8431e-25
  2.5729e+15     122.2974   6.7378e-17   2.9533e-18   1.3453e-18  -1.7453e-17  -4.0530e-17  -2.7148e-19  -2.4920e-30  -9.8431e-25
