# AV             Temperature    H              H2             C              CO
  0.1000026E-01  0.1515758E+03  0.7190861E+03  0.1404563E+03  0.6001422E-04  0.1524348E-05
  0.1047156E-01  0.1515105E+03  0.7036902E+03  0.1481543E+03  0.6077945E-04  0.1536327E-05
  0.1096507E-01  0.1531438E+03  0.6836037E+03  0.1581976E+03  0.6126963E-04  0.1550594E-05
  0.1148183E-01  0.1530715E+03  0.6694958E+03  0.1652516E+03  0.6206588E-04  0.1556257E-05
  0.1202296E-01  0.1538457E+03  0.6550986E+03  0.1724502E+03  0.6270368E-04  0.1584723E-05
  0.1258958E-01  0.1546156E+03  0.6379766E+03  0.1810112E+03  0.6340692E-04  0.1609993E-05
  0.1318291E-01  0.1545318E+03  0.6232048E+03  0.1883971E+03  0.6428649E-04  0.1631099E-05
  0.1380421E-01  0.1552926E+03  0.6102249E+03  0.1948871E+03  0.6498297E-04  0.1652166E-05
  0.1445478E-01  0.1560484E+03  0.5954232E+03  0.2022880E+03  0.6572774E-04  0.1669658E-05
  0.1513601E-01  0.1559513E+03  0.5784564E+03  0.2107714E+03  0.6672578E-04  0.1681512E-05
  0.1584935E-01  0.1575437E+03  0.5640812E+03  0.2179590E+03  0.6735747E-04  0.1696012E-05
  0.1659630E-01  0.1625148E+03  0.5401363E+03  0.2299315E+03  0.6788735E-04  0.1714505E-05
  0.1737846E-01  0.1623987E+03  0.5250487E+03  0.2374753E+03  0.6895250E-04  0.1717893E-05
  0.1819748E-01  0.1622772E+03  0.5093093E+03  0.2453450E+03  0.7006895E-04  0.1718086E-05
  0.1905510E-01  0.1596198E+03  0.5054016E+03  0.2472989E+03  0.7119316E-04  0.1721260E-05
  0.1995315E-01  0.1607546E+03  0.4927854E+03  0.2536070E+03  0.7206971E-04  0.1725592E-05
  0.2089350E-01  0.1618912E+03  0.4786575E+03  0.2606710E+03  0.7301492E-04  0.1725676E-05
  0.2187819E-01  0.1625749E+03  0.4630344E+03  0.2684825E+03  0.7412771E-04  0.1720362E-05
  0.2290926E-01  0.1632634E+03  0.4474552E+03  0.2762721E+03  0.7528913E-04  0.1713055E-05
  0.2398896E-01  0.1631025E+03  0.4362050E+03  0.2818972E+03  0.7660649E-04  0.1710842E-05
  0.2511952E-01  0.1629342E+03  0.4237539E+03  0.2881228E+03  0.7799756E-04  0.1704813E-05
  0.2630338E-01  0.1644362E+03  0.4089417E+03  0.2955289E+03  0.7913017E-04  0.1694671E-05
  0.2754300E-01  0.1650882E+03  0.3931590E+03  0.3034203E+03  0.8051209E-04  0.1679036E-05
  0.2884106E-01  0.1657297E+03  0.3799483E+03  0.3100256E+03  0.8192507E-04  0.1667373E-05
  0.3020030E-01  0.1671962E+03  0.3659108E+03  0.3170444E+03  0.8326227E-04  0.1653297E-05
  0.3162361E-01  0.1669792E+03  0.3535765E+03  0.3232115E+03  0.8498072E-04  0.1639498E-05
  0.3311398E-01  0.1667523E+03  0.3430024E+03  0.3284986E+03  0.8674023E-04  0.1628891E-05
  0.3467459E-01  0.1681802E+03  0.3309430E+03  0.3345283E+03  0.8821488E-04  0.1615223E-05
  0.3630874E-01  0.1679297E+03  0.3183431E+03  0.3408282E+03  0.9018105E-04  0.1597080E-05
  0.3801993E-01  0.1693279E+03  0.3037379E+03  0.3481309E+03  0.9191924E-04  0.1574103E-05
  0.3981175E-01  0.1690515E+03  0.2918537E+03  0.3540730E+03  0.9406632E-04  0.1555824E-05
  0.4168802E-01  0.1704171E+03  0.2809715E+03  0.3595141E+03  0.9591093E-04  0.1541526E-05
  0.4365273E-01  0.1701122E+03  0.2698695E+03  0.3650651E+03  0.9825255E-04  0.1524443E-05
  0.4571002E-01  0.1714420E+03  0.2569608E+03  0.3715195E+03  0.1004112E-03  0.1503002E-05
  0.4786426E-01  0.1711058E+03  0.2449842E+03  0.3775078E+03  0.1030219E-03  0.1482135E-05
  0.5012003E-01  0.1715755E+03  0.2356097E+03  0.3821950E+03  0.1054753E-03  0.1470031E-05
  0.5248211E-01  0.1720260E+03  0.2254020E+03  0.3872989E+03  0.1081263E-03  0.1455167E-05
  0.5495552E-01  0.1716390E+03  0.2147578E+03  0.3926210E+03  0.1111338E-03  0.1437954E-05
  0.5754549E-01  0.1728656E+03  0.2027609E+03  0.3986195E+03  0.1139604E-03  0.1417455E-05
  0.6025753E-01  0.1724395E+03  0.1941648E+03  0.4029175E+03  0.1172532E-03  0.1407246E-05
  0.6309736E-01  0.1719945E+03  0.1853595E+03  0.4073202E+03  0.1207375E-03  0.1396565E-05
  0.6607105E-01  0.1731481E+03  0.1755699E+03  0.4122149E+03  0.1240392E-03  0.1383966E-05
  0.6918488E-01  0.1726585E+03  0.1656068E+03  0.4171965E+03  0.1279768E-03  0.1369509E-05
  0.7244545E-01  0.1721475E+03  0.1574169E+03  0.4212914E+03  0.1320925E-03  0.1362068E-05
  0.7585975E-01  0.1732181E+03  0.1491583E+03  0.4254208E+03  0.1360674E-03  0.1356294E-05
  0.7943491E-01  0.1726564E+03  0.1409412E+03  0.4295293E+03  0.1406968E-03  0.1349843E-05
  0.8317855E-01  0.1720704E+03  0.1322667E+03  0.4338666E+03  0.1456364E-03  0.1342164E-05
  0.8709862E-01  0.1714592E+03  0.1250218E+03  0.4374890E+03  0.1508378E-03  0.1341030E-05
  0.9120346E-01  0.1724034E+03  0.1178922E+03  0.4410538E+03  0.1559029E-03  0.1342574E-05
  0.9550174E-01  0.1717326E+03  0.1107224E+03  0.4446387E+03  0.1617975E-03  0.1343675E-05
  0.1000026E+00  0.1710333E+03  0.1032173E+03  0.4483913E+03  0.1681065E-03  0.1344387E-05
  0.1047156E+00  0.1703044E+03  0.9716785E+02  0.4514160E+03  0.1747817E-03  0.1352783E-05
  0.1096507E+00  0.1695448E+03  0.9119555E+02  0.4544022E+03  0.1819172E-03  0.1363043E-05
  0.1148183E+00  0.1687534E+03  0.8499166E+02  0.4575041E+03  0.1895715E-03  0.1373874E-05
  0.1202295E+00  0.1679292E+03  0.7880138E+02  0.4605992E+03  0.1977813E-03  0.1386545E-05
  0.1258958E+00  0.1670709E+03  0.7380907E+02  0.4630954E+03  0.2065296E-03  0.1407056E-05
  0.1318291E+00  0.1661775E+03  0.6865993E+02  0.4656700E+03  0.2159422E-03  0.1429199E-05
  0.1380420E+00  0.1652476E+03  0.6335537E+02  0.4683223E+03  0.2260859E-03  0.1453174E-05
  0.1445477E+00  0.1642800E+03  0.5869114E+02  0.4706544E+03  0.2369806E-03  0.1483407E-05
  0.1513600E+00  0.1632737E+03  0.5438630E+02  0.4728068E+03  0.2487164E-03  0.1518947E-05
  0.1584934E+00  0.1614832E+03  0.5005911E+02  0.4749704E+03  0.2616796E-03  0.1557411E-05
  0.1659629E+00  0.1596613E+03  0.4614823E+02  0.4769258E+03  0.2756967E-03  0.1602518E-05
  0.1737845E+00  0.1585414E+03  0.4256728E+02  0.4787163E+03  0.2905459E-03  0.1655211E-05
  0.1819749E+00  0.1573782E+03  0.3893139E+02  0.4805343E+03  0.3066784E-03  0.1713144E-05
  0.1905511E+00  0.1547244E+03  0.3562471E+02  0.4821876E+03  0.3247972E-03  0.1777406E-05
  0.1995315E+00  0.1534824E+03  0.3271273E+02  0.4836436E+03  0.3438660E-03  0.1853051E-05
  0.2089351E+00  0.1507715E+03  0.2986989E+02  0.4850650E+03  0.3653492E-03  0.1935231E-05
  0.2187819E+00  0.1480378E+03  0.2717360E+02  0.4864131E+03  0.3887633E-03  0.2027224E-05
  0.2290928E+00  0.1466786E+03  0.2482525E+02  0.4875873E+03  0.4136708E-03  0.2134203E-05
  0.2398896E+00  0.1438869E+03  0.2261470E+02  0.4886926E+03  0.4415698E-03  0.2247137E-05
  0.2511952E+00  0.1410728E+03  0.2053738E+02  0.4897313E+03  0.4725270E-03  0.2372224E-05
  0.2630338E+00  0.1389146E+03  0.1874464E+02  0.4906276E+03  0.5060157E-03  0.2515879E-05
  0.2754300E+00  0.1367203E+03  0.1694866E+02  0.4915256E+03  0.5430174E-03  0.2677869E-05
  0.2884106E+00  0.1325022E+03  0.1546081E+02  0.4922695E+03  0.5851545E-03  0.2857805E-05
  0.3020030E+00  0.1302593E+03  0.1405091E+02  0.4929745E+03  0.6304531E-03  0.3067370E-05
  0.3162361E+00  0.1266883E+03  0.1270212E+02  0.4936489E+03  0.6817910E-03  0.3301637E-05
  0.3311398E+00  0.1237540E+03  0.1159521E+02  0.4942023E+03  0.7383515E-03  0.3572332E-05
  0.3467459E+00  0.1208029E+03  0.1054690E+02  0.4947265E+03  0.8010878E-03  0.3880941E-05
  0.3630874E+00  0.1172160E+03  0.9584531E+01  0.4952077E+03  0.8727359E-03  0.4235269E-05
  0.3801993E+00  0.1136336E+03  0.8796647E+01  0.4956016E+03  0.9526216E-03  0.4642436E-05
  0.3981175E+00  0.1100578E+03  0.8031165E+01  0.4959843E+03  0.1042477E-02  0.5112352E-05
  0.4168802E+00  0.1064912E+03  0.7423963E+01  0.4962879E+03  0.1143852E-02  0.5658094E-05
  0.4365271E+00  0.1029364E+03  0.6861323E+01  0.4965693E+03  0.1258424E-02  0.6293004E-05
  0.4571000E+00  0.9939623E+02  0.6378791E+01  0.4968105E+03  0.1388437E-02  0.7035360E-05
  0.4786424E+00  0.9531289E+02  0.5990774E+01  0.4970045E+03  0.1537149E-02  0.7898152E-05
  0.5012001E+00  0.9182160E+02  0.5628752E+01  0.4971855E+03  0.1705959E-02  0.8922847E-05
  0.5248209E+00  0.8808496E+02  0.5358544E+01  0.4973206E+03  0.1899634E-02  0.1012854E-04
  0.5495548E+00  0.8438698E+02  0.5109108E+01  0.4974453E+03  0.2122937E-02  0.1155830E-04
  0.5754552E+00  0.8098932E+02  0.4930904E+01  0.4975344E+03  0.2377483E-02  0.1327104E-04
  0.6025755E+00  0.7712221E+02  0.4782123E+01  0.4976088E+03  0.2673861E-02  0.1529043E-04
  0.6309740E+00  0.7380936E+02  0.4673625E+01  0.4976630E+03  0.3015890E-02  0.1774029E-04
  0.6607109E+00  0.7005879E+02  0.4594973E+01  0.4977023E+03  0.3414927E-02  0.2063123E-04
  0.6918494E+00  0.6708014E+02  0.4535138E+01  0.4977322E+03  0.3877398E-02  0.2419868E-04
  0.7244551E+00  0.6391145E+02  0.4495210E+01  0.4977521E+03  0.4418797E-02  0.2846646E-04
  0.7585975E+00  0.6057544E+02  0.4487733E+01  0.4977558E+03  0.5054177E-02  0.3353436E-04
  0.7943491E+00  0.5773923E+02  0.4477355E+01  0.4977610E+03  0.5797796E-02  0.3980229E-04
  0.8317855E+00  0.5474349E+02  0.4487712E+01  0.4977558E+03  0.6673749E-02  0.4725460E-04
  0.8709864E+00  0.5201474E+02  0.4499696E+01  0.4977497E+03  0.7703784E-02  0.5642227E-04
  0.9120346E+00  0.4943393E+02  0.4514214E+01  0.4977424E+03  0.8916698E-02  0.6773309E-04
  0.9550174E+00  0.4633395E+02  0.4556237E+01  0.4977214E+03  0.1034940E-01  0.8074078E-04
  0.1000026E+01  0.4310765E+02  0.4611809E+01  0.4976935E+03  0.1204003E-01  0.9584325E-04
  0.1047156E+01  0.4047298E+02  0.4652243E+01  0.4976733E+03  0.1401557E-01  0.1163793E-03
