     NH               Temp.Gaz         Ab..h            Ab..h2           Ab..c            Ab..co        
   1.53799814E+22  8.64950503E+000  4.33804455E+000  1.57997775E+005  7.91434148E-005  3.15753625E+001
   1.54751153E+22  8.65015706E+000  4.33783232E+000  1.57997776E+005  7.91410201E-005  3.15753619E+001
   1.55702492E+22  8.65078611E+000  4.33763235E+000  1.57997776E+005  7.91389153E-005  3.15753613E+001
   1.56653831E+22  8.65139234E+000  4.33744385E+000  1.57997776E+005  7.91370684E-005  3.15753609E+001
   1.57605171E+22  8.65197588E+000  4.33726611E+000  1.57997776E+005  7.91354506E-005  3.15753604E+001
   1.58556510E+22  8.65253690E+000  4.33709849E+000  1.57997776E+005  7.91340360E-005  3.15753600E+001
   1.59507849E+22  8.65307554E+000  4.33694040E+000  1.57997776E+005  7.91328015E-005  3.15753597E+001
   1.60459188E+22  8.65359193E+000  4.33679134E+000  1.57997776E+005  7.91317263E-005  3.15753593E+001
   1.61410527E+22  8.65408622E+000  4.33665082E+000  1.57997776E+005  7.91307919E-005  3.15753591E+001
   1.62361867E+22  8.65455853E+000  4.33651842E+000  1.57997776E+005  7.91299814E-005  3.15753588E+001
   1.63313206E+22  8.65500900E+000  4.33639378E+000  1.57997776E+005  7.91292799E-005  3.15753586E+001
   1.64264545E+22  8.65543775E+000  4.33627653E+000  1.57997776E+005  7.91286741E-005  3.15753584E+001
   1.65215884E+22  8.65584491E+000  4.33616637E+000  1.57997776E+005  7.91281517E-005  3.15753582E+001
   1.66167223E+22  8.65623058E+000  4.33606302E+000  1.57997776E+005  7.91277022E-005  3.15753580E+001
   1.67118563E+22  8.65659488E+000  4.33596623E+000  1.57997776E+005  7.91273157E-005  3.15753579E+001
   1.68069902E+22  8.65693792E+000  4.33587576E+000  1.57997777E+005  7.91269835E-005  3.15753578E+001
   1.69021241E+22  8.65725980E+000  4.33579142E+000  1.57997777E+005  7.91266980E-005  3.15753576E+001
   1.69972580E+22  8.65756060E+000  4.33571302E+000  1.57997777E+005  7.91264521E-005  3.15753575E+001
   1.70923919E+22  8.65784044E+000  4.33564038E+000  1.57997777E+005  7.91262396E-005  3.15753574E+001
   1.71875258E+22  8.65809938E+000  4.33557337E+000  1.57997777E+005  7.91260548E-005  3.15753574E+001
   1.72826598E+22  8.65833752E+000  4.33551183E+000  1.57997777E+005  7.91258927E-005  3.15753573E+001
   1.73777937E+22  8.65855492E+000  4.33545565E+000  1.57997777E+005  7.91257489E-005  3.15753572E+001
   1.74729276E+22  8.65875167E+000  4.33540473E+000  1.57997777E+005  7.91256192E-005  3.15753571E+001
   1.75680615E+22  8.65892782E+000  4.33535894E+000  1.57997777E+005  7.91255001E-005  3.15753571E+001
   1.76631954E+22  8.65908343E+000  4.33531822E+000  1.57997777E+005  7.91253883E-005  3.15753570E+001
   1.77583294E+22  8.65921857E+000  4.33528247E+000  1.57997777E+005  7.91252809E-005  3.15753569E+001
   1.78534633E+22  8.65933328E+000  4.33525163E+000  1.57997777E+005  7.91251753E-005  3.15753569E+001
   1.79485972E+22  8.65942761E+000  4.33522562E+000  1.57997777E+005  7.91250691E-005  3.15753568E+001
   1.80437311E+22  8.65950160E+000  4.33520440E+000  1.57997777E+005  7.91249603E-005  3.15753568E+001
   1.81388650E+22  8.65955528E+000  4.33518790E+000  1.57997777E+005  7.91248470E-005  3.15753567E+001
   1.82339990E+22  8.65958868E+000  4.33517609E+000  1.57997777E+005  7.91247275E-005  3.15753567E+001
   1.83291329E+22  8.65918081E+000  4.33767794E+000  1.57997776E+005  7.91208570E-005  3.15753575E+001
   1.84242668E+22  8.65959111E+000  4.33534029E+000  1.57997777E+005  7.91244744E-005  3.15753567E+001
   1.85194007E+22  8.65915706E+000  4.33884722E+000  1.57997775E+005  7.91206803E-005  3.15753585E+001
   1.86145346E+22  8.65951716E+000  4.33542119E+000  1.57997777E+005  7.91241773E-005  3.15753567E+001
   1.87096686E+22  8.65949194E+000  4.33987869E+000  1.57997775E+005  7.91244024E-005  3.15753609E+001
   1.88048025E+22  8.65940489E+000  4.34016980E+000  1.57997774E+005  7.91242433E-005  3.15753611E+001
   1.88999364E+22  8.65929604E+000  4.34020716E+000  1.57997774E+005  7.91240472E-005  3.15753610E+001
   1.89950703E+22  8.65916684E+000  4.34023299E+000  1.57997774E+005  7.91238352E-005  3.15753610E+001
   1.90902042E+22  8.65901739E+000  4.34026230E+000  1.57997774E+005  7.91236081E-005  3.15753609E+001
   1.91853382E+22  8.65884766E+000  4.34029603E+000  1.57997774E+005  7.91233654E-005  3.15753609E+001
   1.92804721E+22  8.65865763E+000  4.34033421E+000  1.57997774E+005  7.91231067E-005  3.15753608E+001
